Timepoints,Liver signal - vol 3 visit 2,AIF
41069.62,414.188,199.833
41071.8,409.717,194.841
41073.98,412.486,203.514
41076.158,411.689,204.079
41078.337,412.633,198.111
41080.515,408.961,205.452
41082.695,413.531,199.831
41084.875,406.495,205.966
41087.053,414.005,195.559
41089.232,413.417,209.39
41091.413,414.075,209.83
41093.59,415.022,191.059
41095.77,413.006,199.609
41097.947,415.04,201.054
41100.128,412.246,200.422
41102.307,414.866,198.342
41104.485,411.582,199.775
41106.665,413.921,205.807
41108.845,409.602,205.141
41111.023,412.405,193.066
41113.202,404.422,194.944
41115.383,409.913,200.146
41117.56,412.177,195.763
41119.74,411.578,194.747
41121.917,412.441,190.162
41124.098,407.156,198.385
41126.277,409.38,197.057
41128.455,412.428,204.411
41130.635,411.388,201.897
41132.815,412.321,195.858
41134.992,405.192,208.033
41137.173,413.718,199.658
41139.35,410.148,199.505
41141.53,412.143,202.676
41143.71,410.774,200.085
41145.887,411.04,198.658
41148.068,412.498,201.732
41150.247,413.456,200.247
41152.425,413.807,207.543
41154.605,410.162,196.863
41156.785,412.402,203.301
41158.962,409.236,202.22
41161.143,412.838,201.03
41163.32,406.323,203.01
41165.5,408.759,195.757
41167.68,404.343,197.073
41169.857,410.128,197.997
41172.038,410.627,204.714
41174.217,411.149,206.59
41176.395,413.212,202.359
41178.575,406.846,204.677
41180.755,411.051,195.446
41182.932,407.986,201.906
41185.113,409.261,197.41
41187.29,412.304,203.123
41189.47,408.945,197.626
41191.65,411.508,203.633
41193.827,408.501,202.706
41196.008,411.298,198.714
41198.188,410.445,201.873
41200.365,410.806,202.074
41202.545,411.609,201.738
41204.723,414.395,198.096
41206.902,408.787,198.12
41209.083,412.221,195.612
41211.26,409.527,200.645
41213.44,411.753,198.528
41215.62,406.689,204.603
41217.798,411.511,201.4
41219.977,407.205,201.057
41222.158,409.49,199.876
41224.335,408.881,195.971
41226.515,410.206,200.615
41228.693,407.517,200.043
41230.872,409.516,203.282
41233.053,404.581,203.863
41235.23,410.72,192.629
41237.41,412.249,199.649
41239.59,409.648,193.604
41241.768,409.344,201.608
41243.947,407.292,202.287
41246.125,411.06,203.751
41248.305,409.104,204.05
41250.485,413.079,199.569
41252.663,405.843,201.078
41254.842,409.464,191.832
41257.023,402.025,206.167
41259.2,411.602,205.308
41261.38,402.182,198.572
41263.56,407.849,196.657
41265.738,409.994,204.46
41267.917,407.927,198.603
41270.095,411.092,203.31
41272.275,403.336,202.097
41274.455,406.866,193.047
41276.633,408.89,201.258
41278.812,410.873,197.663
41280.992,410.698,197.65
41283.17,408.152,206.606
41285.35,410.377,198.411
41287.527,409.787,199.254
41289.708,409.921,200.13
41291.887,408.925,202.185
41294.065,405.588,199.922
41296.245,410.182,201.992
41298.425,408.927,201.211
41300.602,410.68,197.75
41302.783,410.567,211.273
41304.962,409.732,206.339
41307.14,403.045,194.864
41309.32,407.719,197.927
41311.497,409.135,203.194
41313.678,406.554,200.871
41315.857,410.587,198.413
41318.035,402.717,201.437
41320.215,413.235,195.619
41322.395,404.965,200.011
41324.572,408.024,194.662
41326.753,411.009,198.986
41328.93,407.072,200.481
41331.11,405.945,197.595
41333.29,408.873,205.424
41335.467,405.647,198.325
41337.648,410.903,201.244
41339.827,408.37,197.239
41342.005,408.944,201.657
41344.185,401.686,200.499
41346.365,408.411,204.058
41348.542,403.419,203.401
41353.773,412.483,244.194
41355.952,406.534,206.082
41358.133,408.997,203.697
41360.31,407.757,202.279
41362.49,406.273,203.933
41364.67,406.412,197.155
41366.848,408.114,206.57
41369.027,408.728,204.323
41371.205,410.312,203.866
41373.385,408.402,207.908
41375.565,409.935,203.91
41377.742,405.799,194.621
41379.923,408.412,206.869
41382.102,406.522,203.771
41384.28,409.752,205.239
41386.46,408.81,204.651
41388.637,409.215,197.803
41390.818,406.58,199.639
41392.997,406.862,201.715
41395.175,406.094,200.314
41397.355,407.873,204.334
41399.535,406.839,203.4
41401.712,407.815,202.811
41403.893,404.943,201.233
41406.072,405.994,196.168
41408.25,406.404,199.769
41410.43,408.158,196.918
41412.607,403.619,199.881
41414.788,407.438,204.099
41416.967,405.706,201.768
41419.145,399.342,201.008
41421.325,405.39,204.253
41423.505,402.863,210.739
41425.682,405.11,208.638
41427.863,408.182,204.328
41430.04,407.035,203.852
41432.22,408.988,206.663
41434.4,406.877,208.258
41436.577,408.057,210.296
41438.758,405.162,204.108
41440.938,408.451,207.914
41443.115,406.028,197.849
41445.295,407.802,196.597
41447.475,402.878,205.514
41449.652,407.754,201.371
41451.833,406.432,207.951
41454.01,406.182,211.086
41456.19,398.188,205.351
41458.37,402.713,197.859
41460.548,408.129,205.861
41462.727,404.307,201.988
41464.908,407.514,208.488
41467.085,406.507,203.058
41469.265,406.016,202.72
41471.443,402.004,206.161
41473.622,406.3,192.593
41475.803,402.598,202.746
